run,slice,exposure_us,n_dark_total,n_dark_used,dark_mean,dark_median,dark_std,dark_max
auto_scan-2026-07-29_14-07-31,y0128.00cm,500.0,10,2,0.07214689254760742,0.0,0.2774766683578491,14.0
auto_scan-2026-07-29_14-07-31,y0128.50cm,429.8295454545454,10,2,0.048435211181640625,0.0,0.22337482869625092,16.0
auto_scan-2026-07-29_14-07-31,y0129.00cm,429.8295454545454,10,2,0.053577739745378494,0.0,0.23369480669498444,14.0
auto_scan-2026-07-29_14-07-31,y0129.50cm,429.8295454545454,10,2,0.047092121094465256,0.0,0.218628391623497,14.0
auto_scan-2026-07-29_14-07-31,y0130.00cm,429.8295454545454,10,2,0.047197502106428146,0.0,0.2174711376428604,15.0
auto_scan-2026-07-29_14-07-31,y0130.50cm,429.8295454545454,10,2,0.05333868786692619,0.0,0.23077644407749176,14.0
auto_scan-2026-07-29_14-07-31,y0131.00cm,429.8295454545454,10,2,0.05306100845336914,0.0,0.2297605574131012,14.0
auto_scan-2026-07-29_14-07-31,y0131.50cm,429.8295454545454,10,2,0.05317147448658943,0.0,0.22963306307792664,15.0
auto_scan-2026-07-29_14-07-31,y0132.00cm,429.8295454545454,10,2,0.05310249328613281,0.0,0.2288675457239151,15.0
auto_scan-2026-07-29_14-33-49,y0130.00cm,500.0,12,2,3.8623809814453125e-05,0.0,0.011451122350990772,14.0
auto_scan-2026-07-29_14-33-49,y0130.50cm,500.0,12,2,3.655751424957998e-05,0.0,0.010638020932674408,13.0
auto_scan-2026-07-29_14-33-49,y0131.00cm,500.0,12,2,3.6398570955498144e-05,0.0,0.010837852023541927,13.0
auto_scan-2026-07-29_14-33-49,y0131.50cm,500.0,12,2,3.592173379729502e-05,0.0,0.0110052190721035,14.0
auto_scan-2026-07-29_14-33-49,y0132.00cm,429.8295454545454,12,2,3.592173379729502e-05,0.0,0.01096180360764265,14.0
auto_scan-2026-07-29_14-33-49,y0132.50cm,429.8295454545454,12,2,3.846486288239248e-05,0.0,0.01101964432746172,14.0
auto_scan-2026-07-29_14-33-49,y0133.00cm,429.8295454545454,12,2,3.62396240234375e-05,0.0,0.01078640203922987,13.0
auto_scan-2026-07-29_14-33-49,y0133.50cm,429.8295454545454,12,2,3.496805948088877e-05,0.0,0.010517817921936512,13.0
auto_scan-2026-07-29_14-33-49,y0134.00cm,429.8295454545454,12,2,3.2583873689873144e-05,0.0,0.010014650411903858,12.0
auto_scan-2026-07-29_14-33-49,y0134.50cm,429.8295454545454,12,2,3.4332275390625e-05,0.0,0.010334886610507965,13.0
auto_scan-2026-07-29_14-33-49,y0135.00cm,429.8295454545454,12,2,3.560383993317373e-05,0.0,0.01028863713145256,12.0
auto_scan-2026-07-29_14-33-49,y0135.50cm,429.8295454545454,12,2,3.178914266754873e-05,0.0,0.010085821151733398,12.0
auto_scan-2026-07-29_14-33-49,y0136.00cm,429.8295454545454,12,2,3.24249267578125e-05,0.0,0.010022584348917007,13.0
auto_scan-2026-07-29_14-33-49,y0136.50cm,429.8295454545454,12,2,3.5127002774970606e-05,0.0,0.010234426707029343,12.0
auto_scan-2026-07-29_14-33-49,y0137.00cm,429.8295454545454,12,2,3.3219654142158106e-05,0.0,0.010357934050261974,13.0
auto_scan-2026-07-29_14-33-49,y0137.50cm,429.8295454545454,12,2,3.24249267578125e-05,0.0,0.01011728961020708,13.0
auto_scan-2026-07-29_14-33-49,y0138.00cm,429.8295454545454,12,2,3.401438516448252e-05,0.0,0.01031949371099472,13.0
auto_scan-2026-07-29_14-33-49,y0138.50cm,429.8295454545454,12,2,3.5127002774970606e-05,0.0,0.010342569090425968,13.0
auto_scan-2026-07-29_14-33-49,y0139.00cm,429.8295454545454,12,2,3.4809112548828125e-05,0.0,0.01024994719773531,12.0
auto_scan-2026-07-29_14-33-49,y0139.50cm,429.8295454545454,12,2,3.6398570955498144e-05,0.0,0.010357920080423355,13.0
